Day,Energy,Money,TimeWorked,TotalMoneyIn,TotalMoneyOut,HoursSlept
0,250,250,0,0,0,4
1,220.5,360,8,120,10,5
2,191,470,8,240,20,5
3,213.5,510,4,300,40,5
4,199.5,595,7,405,60,4
5,195,705,8,525,70,7
6,181,790,7,630,90,4
7,187,855,6,720,115,4
8,197,905,5,795,140,4
9,183.5,985,6,885,150,5
10,191,1080,7,990,160,7
11,199.5,1125,4,1050,175,5
12,200.5,1215,7,1155,190,6
13,225,1265,5,1230,215,5
14,248,1345,7,1335,240,6
15,234.5,1435,7,1440,255,5
16,243.5,1510,6,1530,270,6
17,242,1595,7,1635,290,5
18,250,1645,5,1710,315,6
19,250,1705,5,1785,330,7
20,250,1765,5,1860,345,6
21,216,1860,7,1965,355,4
22,247.5,1930,6,2055,375,7
23,216,2030,7,2160,380,5
24,235.5,2095,5,2235,390,7
25,214,2190,7,2340,400,5
26,233,2260,6,2430,420,6
27,220,2370,8,2550,430,6
28,174,2480,8,2670,440,4
29,166.5,2570,7,2775,455,5
30,169,2640,6,2865,475,5
31,173.5,2700,5,2940,490,5
32,189,2780,6,3030,500,7
33,240.5,2840,6,3120,530,7
34,232.5,2900,5,3195,545,4
35,250,2975,6,3285,560,7
36,244.5,3040,5,3360,570,5
37,215,3150,8,3480,580,5
38,215.5,3235,7,3585,600,5
39,232.5,3305,6,3675,620,6
40,250,3390,7,3780,640,7
41,236,3465,6,3870,655,4
